campaign,batch,hourly_timestamp,code,tbl_speed,fom,main_comp,tbl_fill,SREL,pre_comp,produced,waste,cyl_main,cyl_pre,stiffness,ejection
66,288,2019-06-28 04:40:00,1.0,15.705454545454545,3.2363636363636363,3.765454545454545,5.3269090909090915,4.098181818181819,0.0,0.0,1464.509090909091,2.09,4.0,44.763636363636365,15.963636363636363
66,288,2019-06-28 04:50:00,1.0,8.633333333333333,2.0,3.6716666666666664,5.396333333333333,4.156666666666667,0.0,0.0,3833.1666666666665,2.09,4.0,45.11666666666667,16.033333333333335
66,288,2019-06-28 05:00:00,1.0,0.0,0.0,3.8,5.42,4.0,0.0,0.0,4261.0,2.09,4.0,46.0,16.0
66,288,2019-06-28 05:10:00,1.0,23.84,5.0,3.7916666666666665,5.4159999999999995,3.93,0.0,0.36666666666666664,4267.383333333333,2.09,4.0,48.06666666666667,16.783333333333335
66,288,2019-06-28 05:20:00,1.0,100.0,20.0,3.7583333333333333,5.374,3.85,0.0,11.916666666666666,4291.216666666666,2.09,4.0,55.3,17.866666666666667
66,288,2019-06-28 05:30:00,1.0,100.0,20.0,3.7666666666666666,5.397166666666666,3.8216666666666663,0.0,28.55,4298.233333333334,2.09,4.0,45.65,18.416666666666668
66,288,2019-06-28 05:40:00,1.0,100.0,20.0,3.77,5.412166666666667,3.9099999999999997,0.0,45.2,4312.3,2.09,4.0,45.266666666666666,18.616666666666667
66,288,2019-06-28 05:50:00,1.0,100.0,20.0,3.7616666666666663,5.412,3.9033333333333333,0.0,61.833333333333336,4322.45,2.09,4.0,51.416666666666664,17.866666666666667
66,288,2019-06-28 06:00:00,1.0,100.0,20.0,3.756666666666667,5.4159999999999995,3.8699999999999997,0.0,78.5,4332.883333333333,2.09,4.0,46.96666666666667,18.583333333333332
66,288,2019-06-28 06:10:00,1.0,100.0,20.0,3.7616666666666663,5.419,3.8866666666666663,0.0,95.11666666666666,4345.2,2.09,4.0,45.53333333333333,18.65
66,288,2019-06-28 06:20:00,1.0,100.0,20.0,3.7583333333333333,5.418,3.915,0.0,111.78333333333333,4363.533333333334,2.09,4.0,48.333333333333336,18.566666666666666
66,288,2019-06-28 06:30:00,1.0,100.0,20.0,3.77,5.415333333333334,3.8616666666666664,0.0,128.38333333333333,4382.866666666667,2.09,4.0,50.4,18.366666666666667
66,288,2019-06-28 06:40:00,1.0,100.0,20.0,3.76,5.419,3.9316666666666666,0.0,145.03333333333333,4408.733333333334,2.09,4.0,47.0,18.916666666666668
66,288,2019-06-28 06:50:00,1.0,100.0,20.0,3.7633333333333336,5.417666666666666,3.935,0.0,161.66666666666666,4426.433333333333,2.09,4.0,45.6,19.333333333333332
66,288,2019-06-28 07:00:00,1.0,100.0,20.0,3.775,5.424,3.8766666666666665,0.0,178.28333333333333,4438.4,2.09,4.0,44.766666666666666,18.633333333333333
66,288,2019-06-28 07:10:00,1.0,100.0,20.0,3.765,5.417,3.85,0.0,194.95,4454.516666666666,2.09,4.0,45.983333333333334,19.166666666666668
66,288,2019-06-28 07:20:00,1.0,100.0,20.0,3.7583333333333333,5.416166666666666,3.8583333333333334,0.0,211.56666666666666,4468.183333333333,2.09,4.0,45.43333333333333,19.033333333333335
