,campaign,batch,hourly_timestamp,tbl_speed,fom,main_comp,tbl_fill,srel,pre_comp,produced,waste,cyl_main,stiffness,ejection
5572,47,183,2019-04-27 01:10:00,1,-0.1239069031471941,5.35,3.894833333333333,4.825,0.0,1,-1,0.91,615.8166666666667,-0.371112759299854
5573,47,183,2019-04-27 01:20:00,1,-0.1239069031471941,5.366666666666666,3.892,4.923333333333333,0.0,1,-1,0.91,615.55,-0.326492728986867
5574,47,183,2019-04-27 01:30:00,1,-0.1239069031471941,5.346666666666667,3.893833333333333,4.953333333333333,0.0,1,-1,0.91,616.85,-0.3331101063637928
5575,47,183,2019-04-27 01:40:00,1,-0.1239069031471941,5.366666666666666,3.892833333333333,4.9383333333333335,0.0,1,-1,0.91,615.4,-0.3397274837407187
5576,47,183,2019-04-27 01:50:00,1,-0.1239069031471941,5.3533333333333335,3.900833333333333,4.9,0.0,2,-1,0.91,617.4,-0.3232785742609313
5577,47,183,2019-04-27 02:00:00,1,-0.1239069031471941,5.361666666666666,3.9006666666666665,4.888333333333334,0.0,2,-1,0.91,619.6666666666666,-0.3174174685842252
5578,47,183,2019-04-27 02:10:00,1,-0.1239069031471941,5.363333333333333,3.8921666666666654,4.88,0.0,2,-1,0.91,620.05,-0.3068296647811436
5579,47,183,2019-04-27 02:20:00,1,-0.1239069031471941,5.3533333333333335,3.8886666666666665,4.8983333333333325,0.0,2,-1,0.91,618.5333333333333,-0.3136361100831245
5580,47,183,2019-04-27 02:30:00,1,-0.1239069031471941,5.351666666666668,3.8881666666666654,4.905,0.0,2,-1,0.91,616.2333333333333,-0.2886791439758603
5581,47,183,2019-04-27 02:40:00,1,-0.1239069031471941,5.351666666666668,3.8925,4.818333333333333,0.0,2,-1,0.91,619.25,-0.2752553212969534
5582,47,183,2019-04-27 02:50:00,1,-0.1239069031471941,5.3533333333333335,3.894833333333333,4.83,0.0,2,-1,0.91,619.0333333333333,-0.2516218306650745
5583,47,183,2019-04-27 03:00:00,1,-0.1239069031471941,5.366666666666666,3.9005,4.8,0.0,2,-1,0.91,619.0166666666667,-0.3306522233380772
5584,47,183,2019-04-27 03:10:00,1,-0.1239069031471941,5.3566666666666665,3.922,4.776666666666667,0.0,2,-1,0.9181666666666668,622.4166666666666,-0.3251692535114815
5585,47,183,2019-04-27 03:20:00,1,-0.1239069031471941,5.355,3.922333333333333,4.78,0.0,2,-1,0.92,622.85,-0.3172284006591702
5586,47,183,2019-04-27 03:30:00,1,-0.1239069031471941,5.35,3.927666666666666,4.783333333333333,0.0,2,-1,0.92,623.4,-0.2616424306929912
5587,47,183,2019-04-27 03:40:00,0,-0.3995783194616951,5.285,4.228,5.178333333333333,0.0,2,-1,0.9238333333333332,563.6833333333333,-0.3109891591323542
5588,47,183,2019-04-27 03:50:00,-1,-1.042811624195531,5.2,4.42,5.7,0.0,2,-1,0.93,519.0,-0.3104219553571891
5589,63,258,2019-06-18 00:20:00,-1,-1.042811624195531,0.0,3.5,260.3,0.0,-2,-2,1.22,0.0,-1.5242380342104878
5590,63,258,2019-06-18 00:30:00,-1,-0.9269275288188796,1.155,3.505666666666667,186.0183333333333,0.0,-2,-2,1.22,16.0,-1.482643090698381
5591,63,258,2019-06-18 00:40:00,-1,-0.8284005226175857,5.466666666666667,3.6805,3.753333333333333,0.0,-2,-1,1.1411666666666669,56.1,-1.3943483696976815
5592,63,258,2019-06-18 00:50:00,-1,-0.9815513094589752,8.068333333333333,3.753666666666666,3.2516666666666665,0.0,-2,-1,0.965,54.85,-1.4064487169012034
5593,63,258,2019-06-18 01:00:00,-1,-1.042811624195531,8.4,3.77,3.1,0.0,-2,-1,0.95,54.0,-1.3994532036741674
5594,63,258,2019-06-18 01:10:00,-1,-0.8284005226175857,8.393333333333334,3.7691666666666666,1.3916666666666666,0.0,-2,-1,0.95,41.18333333333333,-1.4559845132656215
5595,63,258,2019-06-18 01:20:00,1,-0.1239069031471941,8.361666666666668,3.7378333333333336,3.17,0.0,-2,-1,0.95,54.68333333333333,-1.4064487169012034
5596,63,258,2019-06-18 01:30:00,1,-0.1239069031471941,8.358333333333333,3.735833333333333,3.1866666666666665,0.0,-2,-1,0.95,54.23333333333333,-1.4179818603295602
5597,63,258,2019-06-18 01:40:00,1,-0.1239069031471941,8.371666666666666,3.737333333333333,3.1966666666666668,0.0,-2,-1,0.95,54.95,-1.3775213243677835
5598,63,258,2019-06-18 01:50:00,1,-0.1239069031471941,8.363333333333333,3.735,3.305,0.0,-2,-1,0.95,55.16666666666666,-1.35445503751107
5599,63,258,2019-06-18 02:00:00,1,-0.1239069031471941,8.366666666666667,3.734166666666667,3.305,0.0,-2,-1,0.95,55.61666666666667,-1.3502955431598591
5600,63,258,2019-06-18 02:10:00,1,-0.1239069031471941,8.351666666666667,3.722666666666667,3.27,0.0,-1,-1,0.95,56.38333333333333,-1.349161135609529
5601,63,258,2019-06-18 02:20:00,1,-0.1239069031471941,8.348333333333334,3.707,3.305,0.0,-1,-1,0.95,56.48333333333333,-1.3455688450334835
5602,63,258,2019-06-18 02:30:00,1,-0.1239069031471941,8.365,3.707,3.3116666666666665,0.0,-1,-1,0.95,56.81666666666667,-1.3457579129585384
5603,63,258,2019-06-18 02:40:00,1,-0.1239069031471941,8.360000000000001,3.699166666666667,3.3233333333333333,0.0,-1,-1,0.95,56.833333333333336,-1.3476485922090888
5604,63,258,2019-06-18 02:50:00,1,-0.1239069031471941,8.351666666666667,3.698833333333333,3.313333333333333,0.0,-1,-1,0.95,56.88333333333333,-1.343300029932823
5605,63,258,2019-06-18 03:00:00,1,-0.1239069031471941,8.371666666666666,3.6926666666666654,3.3316666666666666,0.0,-1,-1,0.96,57.15,-1.348404863909309
