,Batch_number,Feature
117,298,ejection
118,306,ejection
119,307,ejection
120,310,ejection
121,312,ejection
122,313,ejection
123,314,ejection
124,315,ejection
125,316,ejection
126,317,ejection
127,319,ejection
128,443,ejection
129,444,ejection
130,445,ejection
131,446,ejection
132,447,ejection
133,448,ejection
134,449,ejection
135,450,ejection
136,451,ejection
137,64,ejection
138,68,ejection
139,69,ejection
140,150,ejection
141,151,ejection
142,152,ejection
143,246,ejection
144,344,ejection
145,345,ejection
146,346,ejection
147,360,ejection
148,361,ejection
149,362,ejection
150,363,ejection
151,469,ejection
152,470,ejection
153,472,ejection
154,83,ejection
155,85,ejection
156,87,ejection
157,261,ejection
158,432,ejection
159,502,ejection
160,62,ejection
161,142,ejection
162,144,ejection
163,180,ejection
164,183,ejection
165,357,ejection
166,258,ejection
167,333,ejection
168,334,ejection
169,355,ejection
170,356,ejection
171,457,ejection
172,458,ejection
173,459,ejection
174,460,ejection
175,28,fom
176,29,fom
177,32,fom
178,33,fom
179,36,fom
180,40,fom
181,41,fom
182,42,fom
183,43,fom
184,45,fom
185,49,fom
186,55,fom
187,124,fom
188,125,fom
189,126,fom
190,127,fom
191,128,fom
192,129,fom
193,263,fom
194,268,fom
195,271,fom
196,272,fom
197,273,fom
198,284,fom
199,290,fom
200,293,fom
201,298,fom
202,306,fom
203,307,fom
204,314,fom
205,443,fom
206,444,fom
207,447,fom
208,448,fom
209,450,fom
210,451,fom
211,64,fom
212,68,fom
213,69,fom
214,150,fom
215,151,fom
216,184,fom
217,185,fom
218,186,fom
219,344,fom
220,345,fom
221,358,fom
222,359,fom
223,470,fom
224,471,fom
225,83,fom
226,149,fom
227,260,fom
228,261,fom
229,332,fom
230,431,fom
231,502,fom
232,62,fom
233,143,fom
234,144,fom
235,180,fom
236,182,fom
237,183,fom
238,357,fom
239,334,fom
240,356,fom
241,457,fom
242,458,fom
243,461,fom
244,29,main_comp
245,34,main_comp
246,35,main_comp
247,36,main_comp
248,40,main_comp
249,44,main_comp
250,45,main_comp
251,46,main_comp
252,47,main_comp
253,48,main_comp
254,49,main_comp
255,51,main_comp
256,52,main_comp
257,53,main_comp
258,54,main_comp
259,55,main_comp
260,56,main_comp
261,129,main_comp
262,130,main_comp
263,133,main_comp
264,269,main_comp
265,271,main_comp
266,273,main_comp
267,276,main_comp
268,284,main_comp
269,290,main_comp
270,294,main_comp
271,306,main_comp
272,308,main_comp
273,311,main_comp
274,316,main_comp
275,318,main_comp
276,319,main_comp
277,444,main_comp
278,445,main_comp
279,446,main_comp
280,449,main_comp
281,451,main_comp
282,452,main_comp
283,453,main_comp
284,64,main_comp
285,65,main_comp
286,69,main_comp
287,151,main_comp
288,246,main_comp
289,344,main_comp
290,345,main_comp
291,346,main_comp
292,358,main_comp
293,359,main_comp
294,360,main_comp
295,361,main_comp
296,363,main_comp
297,469,main_comp
298,470,main_comp
299,83,main_comp
300,85,main_comp
301,261,main_comp
302,411,main_comp
303,412,main_comp
304,432,main_comp
305,62,main_comp
306,63,main_comp
307,144,main_comp
308,181,main_comp
309,182,main_comp
310,183,main_comp
311,357,main_comp
312,258,main_comp
313,458,main_comp
314,459,main_comp
315,461,main_comp
316,26,pre_comp
317,263,pre_comp
318,265,pre_comp
319,294,pre_comp
320,295,pre_comp
321,444,pre_comp
322,445,pre_comp
323,446,pre_comp
324,447,pre_comp
325,449,pre_comp
326,450,pre_comp
327,451,pre_comp
328,150,pre_comp
329,151,pre_comp
330,185,pre_comp
331,187,pre_comp
332,246,pre_comp
333,359,pre_comp
334,360,pre_comp
335,361,pre_comp
336,362,pre_comp
337,363,pre_comp
338,469,pre_comp
339,470,pre_comp
340,472,pre_comp
341,85,pre_comp
342,86,pre_comp
343,332,pre_comp
344,431,pre_comp
345,502,pre_comp
346,62,pre_comp
347,63,pre_comp
348,142,pre_comp
349,143,pre_comp
350,357,pre_comp
351,333,pre_comp
352,334,pre_comp
353,356,pre_comp
354,457,pre_comp
355,458,pre_comp
356,460,pre_comp
357,461,pre_comp
358,26,produced
359,27,produced
360,28,produced
361,29,produced
362,30,produced
363,31,produced
364,32,produced
365,33,produced
366,34,produced
367,35,produced
368,36,produced
369,40,produced
370,41,produced
371,42,produced
372,43,produced
373,44,produced
374,45,produced
375,46,produced
376,47,produced
377,48,produced
378,49,produced
379,50,produced
380,51,produced
381,52,produced
382,53,produced
383,54,produced
384,55,produced
385,56,produced
386,124,produced
387,125,produced
388,126,produced
389,127,produced
390,128,produced
391,129,produced
392,130,produced
